building_description_texts_short_description_small_rum_distillery_european|Produces up to 15 Rum each turn.
building_description_texts_long_description_small_rum_distillery_european|\n\nMolasses left over from the sugar harvest is fermented and distilled into rum. It is the drink of sailors and of the men who prey on them, and it travels better than beer.\n\nA small rum distillery produces up to 15 Rum per turn. It can only be built where there is cane-growing land.
building_description_texts_short_description_large_rum_distillery_european|Produces up to 26 Rum each turn.
building_description_texts_long_description_large_rum_distillery_european|\n\nMolasses left over from the sugar harvest is fermented and distilled into rum. It is the drink of sailors and of the men who prey on them, and it travels better than beer.\n\nA large rum distillery produces up to 26 Rum per turn. It can only be built where there is cane-growing land.
building_description_texts_short_description_grand_rum_distillery_european|Produces up to 41 Rum each turn.
building_description_texts_long_description_grand_rum_distillery_european|\n\nMolasses left over from the sugar harvest is fermented and distilled into rum. It is the drink of sailors and of the men who prey on them, and it travels better than beer.\n\nA grand rum distillery produces up to 41 Rum per turn. It can only be built where there is cane-growing land.
building_description_texts_short_description_small_coal_mine_european|Produces up to 50 Coal each turn.
building_description_texts_long_description_small_coal_mine_european|\n\nCoal is the fuel of the new industry. Without it furnaces stay cold, powder mills stand idle, and the finest ore in the world stays a rock.\n\nA small coal mine produces up to 50 Coal per turn.\n\nCoal is needed to make Cannon, Gunpowder, Steel, Textiles.
building_description_texts_short_description_large_coal_mine_european|Produces up to 85 Coal each turn.
building_description_texts_long_description_large_coal_mine_european|\n\nCoal is the fuel of the new industry. Without it furnaces stay cold, powder mills stand idle, and the finest ore in the world stays a rock.\n\nA large coal mine produces up to 85 Coal per turn.\n\nCoal is needed to make Cannon, Gunpowder, Steel, Textiles.
building_description_texts_short_description_grand_coal_mine_european|Produces up to 135 Coal each turn.
building_description_texts_long_description_grand_coal_mine_european|\n\nCoal is the fuel of the new industry. Without it furnaces stay cold, powder mills stand idle, and the finest ore in the world stays a rock.\n\nA grand coal mine produces up to 135 Coal per turn.\n\nCoal is needed to make Cannon, Gunpowder, Steel, Textiles.
building_description_texts_short_description_small_saltpetre_works_european|Produces up to 40 Saltpetre each turn.
building_description_texts_long_description_small_saltpetre_works_european|\n\nSaltpetre is scraped from nitrous earth and refined in long beds. It is the irreplaceable ingredient of gunpowder, and a state that cannot make it must buy it from those who can.\n\nA small saltpetre works produces up to 40 Saltpetre per turn.\n\nSaltpetre is needed to make Gunpowder.
building_description_texts_short_description_large_saltpetre_works_european|Produces up to 68 Saltpetre each turn.
building_description_texts_long_description_large_saltpetre_works_european|\n\nSaltpetre is scraped from nitrous earth and refined in long beds. It is the irreplaceable ingredient of gunpowder, and a state that cannot make it must buy it from those who can.\n\nA large saltpetre works produces up to 68 Saltpetre per turn.\n\nSaltpetre is needed to make Gunpowder.
building_description_texts_short_description_grand_saltpetre_works_european|Produces up to 108 Saltpetre each turn.
building_description_texts_long_description_grand_saltpetre_works_european|\n\nSaltpetre is scraped from nitrous earth and refined in long beds. It is the irreplaceable ingredient of gunpowder, and a state that cannot make it must buy it from those who can.\n\nA grand saltpetre works produces up to 108 Saltpetre per turn.\n\nSaltpetre is needed to make Gunpowder.
building_description_texts_short_description_small_lead_mine_european|Produces up to 40 Lead each turn.
building_description_texts_long_description_small_lead_mine_european|\n\nSoft, heavy and easily cast, lead becomes shot in any village forge. It is the least glamorous of metals and the one an army runs out of first.\n\nA small lead mine produces up to 40 Lead per turn.\n\nLead is needed to make Ammunition.
building_description_texts_short_description_large_lead_mine_european|Produces up to 68 Lead each turn.
building_description_texts_long_description_large_lead_mine_european|\n\nSoft, heavy and easily cast, lead becomes shot in any village forge. It is the least glamorous of metals and the one an army runs out of first.\n\nA large lead mine produces up to 68 Lead per turn.\n\nLead is needed to make Ammunition.
building_description_texts_short_description_grand_lead_mine_european|Produces up to 108 Lead each turn.
building_description_texts_long_description_grand_lead_mine_european|\n\nSoft, heavy and easily cast, lead becomes shot in any village forge. It is the least glamorous of metals and the one an army runs out of first.\n\nA grand lead mine produces up to 108 Lead per turn.\n\nLead is needed to make Ammunition.
building_description_texts_short_description_small_foundry_european|Produces up to 50 Steel each turn. Every 4 need 2 Iron and 3 Coal.
